scholarship_name,provider,country,degree_level,field,min_cgpa_10,funding_type,funding_tags,funding_details,deadline,required_documents,official_url,eligibility_notes
International Student Award,SUNY Cortland,USA,Bachelor's,All fields,7.0,Partial Funding,"partial,tuition","Up to $30,000 over four years for undergraduate awards; selection based on admission and academic results",Varies,Admission application; academic records,https://educationusa.state.gov/scholarships/international-student-award,EducationUSA listing states undergraduate eligibility.
International Student Award,SUNY Cortland,USA,Master's,All fields,7.0,Partial Funding,"partial,tuition","Up to $30,000 over four years for undergraduate and graduate awards; selection based on admission and academic results",Varies,Admission application; academic records,https://educationusa.state.gov/scholarships/international-student-award,EducationUSA listing states graduate eligibility.
Graduate International Scholarship,University of Illinois Chicago,USA,Master's,All postgraduate fields,7.5,Partial Funding,"partial,tuition",University-specific graduate funding; amount varies by department,Varies,Graduate application; transcripts; department materials,https://www.uic.edu/,Verify availability with the intended graduate programme.
Graduate International Scholarship,University of Illinois Chicago,USA,PhD,All postgraduate fields,7.5,Partial Funding,"partial,tuition",University-specific graduate funding; amount varies by department,Varies,Graduate application; transcripts; department materials,https://www.uic.edu/,Verify availability with the intended graduate programme.
Lester B. Pearson International Scholarship,University of Toronto,Canada,Bachelor's,All fields,8.5,Full Funding,"full,tuition,living","Tuition, books, incidental fees and full residence support for four years",Varies,School nomination; U of T application; academic records; essays,https://future.utoronto.ca/pearson/about/,For exceptional international secondary-school students.
International Scholars Program,University of British Columbia,Canada,Bachelor's,All fields,8.5,Full Funding,"full,tuition,living",Awards can cover educational costs and living expenses based on demonstrated financial need and merit,Varies,UBC application; nomination; academic records; financial profile,https://you.ubc.ca/financial-planning/scholarships-awards-international-students/,International undergraduate applicants; awards and criteria vary.
International Student Entrance Scholarship,University of Waterloo,Canada,Bachelor's,All fields,8.0,Partial Funding,"partial,tuition",Entrance awards for eligible international undergraduate students; amount varies,Varies,Admission application; academic records,https://uwaterloo.ca/future-students/financing/scholarships,Eligibility varies by faculty and program.
Canada Graduate Research Scholarship – Doctoral,Government of Canada / Tri-agency,Canada,PhD,Health; Natural Sciences; Engineering; Social Sciences; Humanities,8.0,Full Funding,"full,living",Doctoral research funding; award value and terms depend on current competition,Varies,Doctoral application; research proposal; transcripts; references,https://www.nserc-crsng.gc.ca/Students-Etudiants/PG-CS/cgrsd-bescd_eng.asp,Eligibility depends on agency and program; verify current competition.
Ontario Trillium Scholarship,Government of Ontario / participating universities,Canada,PhD,All fields,8.0,Full Funding,"full,tuition,living",Doctoral funding package; award value and conditions vary by participating university,Varies,University nomination/application; transcripts; references; research proposal,https://www.ontario.ca/page/ontario-trillium-scholarship,International PhD applicants at participating Ontario universities.
Ontario Graduate Scholarship,Government of Ontario / participating universities,Canada,Master's,All postgraduate fields,7.5,Partial Funding,"partial,living",Merit-based graduate award; value and duration vary by current rules,Varies,University application; transcripts; references; statement,https://www.sgs.utoronto.ca/awards/ontario-graduate-scholarship/,Domestic and international eligibility depends on institution/program.
Ontario Graduate Scholarship,Government of Ontario / participating universities,Canada,PhD,All postgraduate fields,7.5,Partial Funding,"partial,living",Merit-based graduate award; value and duration vary by current rules,Varies,University application; transcripts; references; statement,https://www.sgs.utoronto.ca/awards/ontario-graduate-scholarship/,Domestic and international eligibility depends on institution/program.
Chevening Scholarships,UK Government,UK,Master's,All fields,7.5,Full Funding,"full,tuition,living",Fully funded one-year master's including tuition and living support,Varies,Application; essays; references; work-experience evidence; university choices,https://www.chevening.org/scholarships/,Requires qualifying work experience and country-specific eligibility.
GREAT Scholarships,British Council / UK universities,UK,Master's,All fields,7.5,Partial Funding,"partial,tuition","£10,000 toward tuition for eligible one-year taught postgraduate courses",Varies,University application; scholarship application; academic records,https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,2026-27 programme includes scholarships across UK universities for students from eligible countries.
Commonwealth Master's Scholarships,Commonwealth Scholarship Commission,UK,Master's,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Tuition, approved fares and living support under Commonwealth scheme",Varies,Scholarship application; admission evidence; references; transcripts,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,For eligible Commonwealth countries; route and eligibility vary.
Commonwealth PhD Scholarships,Commonwealth Scholarship Commission,UK,PhD,All postgraduate fields,7.5,Full Funding,"full,tuition,living",Support for doctoral study in the UK; benefits include tuition and living support,Varies,Application; research proposal; references; transcripts,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships/,For eligible Commonwealth countries.
Clarendon Fund,University of Oxford,UK,Master's,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Tuition and college fees plus a grant for living expenses,Varies,Oxford graduate application; transcripts; references; statement/proposal where required,https://www.ox.ac.uk/clarendon,Graduate applicants who meet the relevant course deadline are considered.
Clarendon Fund,University of Oxford,UK,PhD,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Tuition and college fees plus a grant for living expenses,Varies,Oxford graduate application; transcripts; references; statement/proposal where required,https://www.ox.ac.uk/clarendon,Graduate applicants who meet the relevant course deadline are considered.
Gates Cambridge Scholarship,University of Cambridge,UK,Master's,All postgraduate fields,8.5,Full Funding,"full,tuition,living",Full-cost postgraduate funding including maintenance and eligible costs,Varies,Cambridge application; transcripts; references; statement; research proposal where required,https://www.gatescambridge.org/apply/,For outstanding applicants from outside the UK.
Gates Cambridge Scholarship,University of Cambridge,UK,PhD,All postgraduate fields,8.5,Full Funding,"full,tuition,living",Full-cost postgraduate funding including maintenance and eligible costs,Varies,Cambridge application; transcripts; references; statement; research proposal where required,https://www.gatescambridge.org/apply/,For outstanding applicants from outside the UK.
DAAD Study Scholarships – Master Studies,DAAD,Germany,Master's,All fields,7.5,Full Funding,"full,living",Monthly scholarship payments plus eligible travel/insurance and other benefits depending on programme,Varies,Degree certificate; transcripts; CV; motivation; references; programme documents,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/,Country and programme restrictions apply.
DAAD Research Grants,DAAD,Germany,PhD,STEM; Engineering; Computer Science; Natural Sciences,7.5,Full Funding,"full,living",Research funding in Germany; benefits depend on the specific programme,Varies,CV; research proposal; academic records; host/supervisor evidence; references,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/,Country and programme restrictions apply.
DAAD Doctoral Programmes in Germany,DAAD,Germany,PhD,All postgraduate fields,7.5,Full Funding,"full,living",Doctoral funding support; programme-specific benefits,Varies,Degree certificate; transcripts; CV; research proposal; supervisor evidence,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/,Country and programme restrictions apply.
Deutschlandstipendium,Technical University of Munich,Germany,Bachelor's,All fields,8.0,Partial Funding,"partial,living",€300 per month plus networking opportunities with sponsors,Varies,Academic records; university application/enrollment evidence; scholarship materials,https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/tum-scholarships/deutschlandstipendium/application,TUM eligibility and application windows vary.
Deutschlandstipendium,Technical University of Munich,Germany,Master's,All fields,8.0,Partial Funding,"partial,living",€300 per month plus networking opportunities with sponsors,Varies,Academic records; university application/enrollment evidence; scholarship materials,https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/tum-scholarships/deutschlandstipendium/application,TUM eligibility and application windows vary.
Heinrich Böll Foundation Scholarship,Heinrich Böll Foundation,Germany,Master's,All fields,8.0,Full Funding,"full,living",Monthly support and allowances under foundation scholarship rules,Varies,Application; transcripts; CV; motivation; references; proof of language as required,https://www.boell.de/en/foundation/scholarships,International students may be eligible subject to programme and nationality rules.
Heinrich Böll Foundation Scholarship,Heinrich Böll Foundation,Germany,PhD,All fields,8.0,Full Funding,"full,living",Monthly support and allowances under foundation scholarship rules,Varies,Application; transcripts; CV; motivation; references; proof of language as required,https://www.boell.de/en/foundation/scholarships,International students may be eligible subject to programme and nationality rules.
Friedrich Ebert Stiftung Scholarship,Friedrich Ebert Stiftung,Germany,Master's,All fields,7.5,Full Funding,"full,living",Monthly scholarship support plus possible allowances,Varies,Application; academic records; CV; social/political engagement evidence,https://www.fes.de/studienfoerderung,"Eligibility depends on nationality, programme and academic/social criteria."
Friedrich Ebert Stiftung Scholarship,Friedrich Ebert Stiftung,Germany,PhD,All fields,7.5,Full Funding,"full,living",Monthly scholarship support plus possible allowances,Varies,Application; academic records; CV; social/political engagement evidence,https://www.fes.de/studienfoerderung,"Eligibility depends on nationality, programme and academic/social criteria."
Australia Awards Scholarships,Australian Government,Australia,Master's,All fields,7.5,Full Funding,"full,tuition,living","Tuition, return airfare, establishment allowance, living expenses and other benefits",Varies,Academic records; English evidence; employment evidence where required; country-specific documents,https://www.dfat.gov.au/people-to-people/australia-awards,Only for participating countries and priority fields.
Research Training Program (RTP),Australian Government / eligible universities,Australia,Master's,Research; STEM; Engineering,7.5,Full Funding,"full,tuition,living","Universities may provide tuition fee offsets, stipends and allowances to eligible research students",Varies,Research degree application; transcripts; research proposal; references,https://www.education.gov.au/research-block-grants/research-training-program,Available through eligible Australian universities; support components vary.
Research Training Program (RTP),Australian Government / eligible universities,Australia,PhD,Research; STEM; Engineering,7.5,Full Funding,"full,tuition,living","Universities may provide tuition fee offsets, stipends and allowances to eligible research students",Varies,Research degree application; transcripts; research proposal; references,https://www.education.gov.au/research-block-grants/research-training-program,Available through eligible Australian universities; support components vary.
Monash Graduate Scholarship,Monash University,Australia,Master's,All postgraduate fields,7.5,Full Funding,"full,living",Research scholarship support for eligible international graduate research students,Varies,Graduate research application; academic records; research proposal; CV,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship,Research scholarship rounds and eligibility vary.
Monash Graduate Scholarship,Monash University,Australia,PhD,All postgraduate fields,7.5,Full Funding,"full,living",Research scholarship support for eligible international graduate research students,Varies,Graduate research application; academic records; research proposal; CV,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship,Research scholarship rounds and eligibility vary.
International Student Excellence Scholarship,University of Sydney,Australia,Bachelor's,All fields,7.5,Partial Funding,"partial,tuition",Tuition contribution; amount and eligible courses vary,Varies,Admission application; academic records; English evidence,https://www.sydney.edu.au/scholarships/,"Eligibility depends on course, nationality and intake."
International Student Excellence Scholarship,University of Sydney,Australia,Master's,All fields,7.5,Partial Funding,"partial,tuition",Tuition contribution; amount and eligible courses vary,Varies,Admission application; academic records; English evidence,https://www.sydney.edu.au/scholarships/,"Eligibility depends on course, nationality and intake."
University of Melbourne Graduate Research Scholarships,University of Melbourne,Australia,Master's,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Tuition fee offset plus living allowance and other benefits for eligible research students,Varies,Graduate research application; transcripts; research proposal; references,https://study.unimelb.edu.au/how-to-apply/scholarships,Research degree eligibility and award conditions vary.
University of Melbourne Graduate Research Scholarships,University of Melbourne,Australia,PhD,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Tuition fee offset plus living allowance and other benefits for eligible research students,Varies,Graduate research application; transcripts; research proposal; references,https://study.unimelb.edu.au/how-to-apply/scholarships,Research degree eligibility and award conditions vary.
University of Melbourne International Undergraduate Scholarship,University of Melbourne,Australia,Bachelor's,All fields,8.5,Partial Funding,"partial,tuition",Tuition fee remission for eligible international undergraduate students,Varies,Admission application; academic records,https://study.unimelb.edu.au/how-to-apply/scholarships,Eligible courses and award amount vary.
France Excellence Eiffel Scholarship,Campus France / French Ministry,France,Master's,Mathematics and Digital Sciences; Engineering Sciences; Biology and Health; Economics and Management; Law; Political Science; History; French Language,8.0,Full Funding,"full,living","Monthly allowance plus travel, insurance, housing-search and cultural support; tuition is not covered by Eiffel",Varies,Institution-supported application; transcripts; CV; study/research plan; nationality/age evidence,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,Applications are submitted by French higher education institutions; age and field restrictions apply.
France Excellence Eiffel Scholarship,Campus France / French Ministry,France,PhD,Mathematics and Digital Sciences; Engineering Sciences; Biology and Health; Economics and Management; Law; Political Science; History; French Language,8.0,Full Funding,"full,living","Monthly allowance plus travel, insurance, housing-search and cultural support; tuition is not covered by Eiffel",Varies,Institution-supported application; transcripts; CV; study/research plan; nationality/age evidence,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,Applications are submitted by French higher education institutions; age and field restrictions apply.
France Excellence Europa,French Ministry for Europe and Foreign Affairs,France,Master's,All fields,7.5,Partial Funding,"partial,living",Scholarship support for eligible European students; terms vary,Varies,University/institution application; transcripts; motivation,https://www.campusfrance.org/en/scholarships-for-foreign-students-in-france,Eligibility and availability vary by programme.
Campus Bourses,Campus France,France,Bachelor's,All fields,,Partial Funding,"partial,tuition,living","Search platform aggregating scholarships from governments, regions, institutions and foundations",Varies,Varies by scholarship,https://www.campusfrance.org/en/bursaries-foreign-students,Discovery platform; individual award eligibility varies.
NL Scholarship,Dutch Ministry of Education / participating institutions,Netherlands,Bachelor's,All fields,7.5,Partial Funding,"partial,tuition","€5,000 in the first year; not a full-tuition scholarship",Varies,Admission application; academic records; scholarship application,https://www.studyinnl.org/finances/nl-scholarship,For non-EEA students at participating institutions.
NL Scholarship,Dutch Ministry of Education / participating institutions,Netherlands,Master's,All fields,7.5,Partial Funding,"partial,tuition","€5,000 in the first year; not a full-tuition scholarship",Varies,Admission application; academic records; scholarship application,https://www.studyinnl.org/finances/nl-scholarship,For non-EEA students at participating institutions.
Erasmus+ Joint Masters,European Commission / consortium universities,Netherlands,Master's,All postgraduate fields,8.0,Full Funding,"full,tuition,living","Competitive Erasmus Mundus scholarships can cover participation costs, travel, visa and living support",Varies,Consortium application; transcripts; references; motivation; programme-specific documents,https://erasmus-plus.ec.europa.eu/,Programme-specific; not every Erasmus Mundus course is based in the Netherlands.
MENA Scholarship Programme,Nuffic / participating Dutch institutions,Netherlands,Master's,All postgraduate fields,7.5,Full Funding,"full,tuition,living",Scholarship support for eligible professionals from selected MENA countries,Varies,Institution/programme application; professional experience evidence; transcripts,https://www.studyinnl.org/finances/scholarships,Nationality and programme restrictions apply.
MEXT Undergraduate Scholarship,Japanese Government (MEXT),Japan,Bachelor's,All fields,7.5,Full Funding,"full,tuition,living","Tuition exemption, monthly stipend and round-trip airfare",Varies,Embassy/university application; transcripts; recommendation; health certificate; exams where required,https://www.studyinjapan.go.jp/en/planning/scholarships/mext-scholarships/,Age and academic requirements apply.
MEXT Research Students Scholarship,Japanese Government (MEXT),Japan,Master's,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Tuition exemption, monthly stipend and round-trip airfare",Varies,Research plan; transcripts; recommendation; language evidence; university/embassy route documents,https://www.studyinjapan.go.jp/en/planning/scholarships/mext-scholarships/,Eligibility depends on category and applicant circumstances.
MEXT Research Students Scholarship,Japanese Government (MEXT),Japan,PhD,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Tuition exemption, monthly stipend and round-trip airfare",Varies,Research plan; transcripts; recommendation; language evidence; university/embassy route documents,https://www.studyinjapan.go.jp/en/planning/scholarships/mext-scholarships/,Eligibility depends on category and applicant circumstances.
JASSO Honors Scholarship for Privately Financed International Students,JASSO,Japan,Bachelor's,All fields,7.0,Partial Funding,"partial,living",Monthly stipend for eligible privately financed international students,Varies,University nomination/application; academic performance; enrollment evidence,https://www.jasso.go.jp/en/study_j/scholarships/shoureihi/index.html,Usually arranged through participating institutions; eligibility varies.
JASSO Honors Scholarship for Privately Financed International Students,JASSO,Japan,Master's,All fields,7.0,Partial Funding,"partial,living",Monthly stipend for eligible privately financed international students,Varies,University nomination/application; academic performance; enrollment evidence,https://www.jasso.go.jp/en/study_j/scholarships/shoureihi/index.html,Usually arranged through participating institutions; eligibility varies.
JASSO Honors Scholarship for Privately Financed International Students,JASSO,Japan,PhD,All fields,7.0,Partial Funding,"partial,living",Monthly stipend for eligible privately financed international students,Varies,University nomination/application; academic performance; enrollment evidence,https://www.jasso.go.jp/en/study_j/scholarships/shoureihi/index.html,Usually arranged through participating institutions; eligibility varies.
Global Korea Scholarship (GKS) – Undergraduate,Government of South Korea / NIIED,South Korea,Bachelor's,All fields,7.5,Full Funding,"full,tuition,living","Tuition, language training, airfare, monthly allowance and other benefits under GKS rules",Varies,Application; transcripts; recommendation; personal statement; medical forms,https://www.studyinkorea.go.kr/,"Nationality, age, academic and university restrictions apply."
Global Korea Scholarship (GKS) – Graduate,Government of South Korea / NIIED,South Korea,Master's,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Tuition, language training where applicable, airfare, monthly allowance and other benefits",Varies,Application; transcripts; recommendation; study/research plan; medical forms,https://www.studyinkorea.go.kr/,2026 GKS-G guidelines and university list should be checked for each cycle.
Global Korea Scholarship (GKS) – Graduate,Government of South Korea / NIIED,South Korea,PhD,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Tuition, language training where applicable, airfare, monthly allowance and other benefits",Varies,Application; transcripts; recommendation; study/research plan; medical forms,https://www.studyinkorea.go.kr/,2026 GKS-G guidelines and university list should be checked for each cycle.
SI Scholarship for Global Professionals,Swedish Institute,Sweden,Master's,All fields,8.0,Full Funding,"full,tuition,living","Tuition fee coverage, monthly stipend and travel grant under current SI rules",Varies,Admission application; work/leadership evidence; motivation; documents,https://si.se/en/apply/scholarships/,Country and eligible master’s programme restrictions apply.
Swedish University Scholarships,Participating Swedish universities,Sweden,Master's,All fields,7.5,Partial Funding,"partial,tuition",University-specific tuition fee waivers or scholarships; amounts vary,Varies,University admission; academic records; scholarship application,https://studyinsweden.se/plan-your-studies/scholarships/,Availability varies by university and programme.
Swiss Government Excellence Scholarship – Research,Swiss Government / Swiss universities,Switzerland,Master's,All postgraduate fields,8.0,Full Funding,"full,living",Scholarship support for foreign researchers/students; award type depends on category,Varies,Research proposal; academic records; host/supervisor letter; references,https://www.sbfi.admin.ch/sbfi/en/home/education/scholarships-and-grants/swiss-government-excellence-scholarships.html,"Country, degree and host institution eligibility vary."
Swiss Government Excellence Scholarship – Research,Swiss Government / Swiss universities,Switzerland,PhD,All postgraduate fields,8.0,Full Funding,"full,living",Scholarship support for foreign researchers/students; award type depends on category,Varies,Research proposal; academic records; host/supervisor letter; references,https://www.sbfi.admin.ch/sbfi/en/home/education/scholarships-and-grants/swiss-government-excellence-scholarships.html,"Country, degree and host institution eligibility vary."
Government of Ireland International Education Scholarship,Government of Ireland,Ireland,Master's,All postgraduate fields,8.0,Full Funding,"full,tuition,living","One year of full fee waiver plus €10,000 stipend for eligible study",Varies,Admission offer; academic records; references; statement,https://hea.ie/programmes/government-of-ireland-international-education-scholarships/,Competitive and limited to eligible applicants/programmes.
Government of Ireland International Education Scholarship,Government of Ireland,Ireland,PhD,All postgraduate fields,8.0,Full Funding,"full,tuition,living","One year of full fee waiver plus €10,000 stipend for eligible study",Varies,Admission offer; academic records; references; statement,https://hea.ie/programmes/government-of-ireland-international-education-scholarships/,Competitive and limited to eligible applicants/programmes.
Government of Ireland Postgraduate Scholarship,Irish Research Council,Ireland,Master's,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Research scholarship including stipend and eligible fee contribution,Varies,Research proposal; transcripts; supervisor; references,https://research.ie/funding/goipg/,Research-focused; eligibility depends on call and applicant nationality.
Government of Ireland Postgraduate Scholarship,Irish Research Council,Ireland,PhD,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Research scholarship including stipend and eligible fee contribution,Varies,Research proposal; transcripts; supervisor; references,https://research.ie/funding/goipg/,Research-focused; eligibility depends on call and applicant nationality.
Manaaki New Zealand Scholarships,New Zealand Government,New Zealand,Bachelor's,All fields,7.5,Full Funding,"full,tuition,living",Full scholarship package for eligible countries and study levels,Varies,Eligibility screening; academic records; employment/leadership evidence where required,https://www.nzscholarships.govt.nz/,Only applicants from eligible countries and priority study areas.
Manaaki New Zealand Scholarships,New Zealand Government,New Zealand,Master's,All fields,7.5,Full Funding,"full,tuition,living",Full scholarship package for eligible countries and study levels,Varies,Eligibility screening; academic records; employment/leadership evidence where required,https://www.nzscholarships.govt.nz/,Only applicants from eligible countries and priority study areas.
Manaaki New Zealand Scholarships,New Zealand Government,New Zealand,PhD,All fields,7.5,Full Funding,"full,tuition,living",Full scholarship package for eligible countries and study levels,Varies,Eligibility screening; academic records; employment/leadership evidence where required,https://www.nzscholarships.govt.nz/,Only applicants from eligible countries and priority study areas.
International Excellence Scholarship,University of Auckland,New Zealand,Bachelor's,All fields,7.5,Partial Funding,"partial,tuition",Tuition contribution for eligible international students; award value varies,Varies,Admission application; academic records; scholarship application,https://www.auckland.ac.nz/en/study/scholarships-and-awards.html,Eligibility varies by programme and intake.
International Excellence Scholarship,University of Auckland,New Zealand,Master's,All fields,7.5,Partial Funding,"partial,tuition",Tuition contribution for eligible international students; award value varies,Varies,Admission application; academic records; scholarship application,https://www.auckland.ac.nz/en/study/scholarships-and-awards.html,Eligibility varies by programme and intake.
Ernst Mach Grant – University of Applied Sciences,Austrian Federal Ministry / OeAD,Austria,Master's,All fields,7.5,Partial Funding,"partial,living",Grant support for international students/researchers in eligible Austrian programmes,Varies,Academic records; motivation; host institution evidence,https://grants.at/en/,Nationality and programme restrictions apply.
OeAD Scholarships,OeAD,Austria,Bachelor's,All fields,,Partial Funding,"partial,tuition,living",Database of Austrian scholarships and grants; award terms vary,Varies,Varies by programme,https://grants.at/en/,Discovery platform; individual eligibility varies.
OeAD Scholarships,OeAD,Austria,Master's,All fields,,Partial Funding,"partial,tuition,living",Database of Austrian scholarships and grants; award terms vary,Varies,Varies by programme,https://grants.at/en/,Discovery platform; individual eligibility varies.
OeAD Scholarships,OeAD,Austria,PhD,All fields,,Partial Funding,"partial,tuition,living",Database of Austrian scholarships and grants; award terms vary,Varies,Varies by programme,https://grants.at/en/,Discovery platform; individual eligibility varies.
